tool,calibration_mean_nm,recommended_time_s,offset_s,before_mean_nm,before_delta_nm,before_ci_lo_nm,before_ci_hi_nm,before_equivalent_3nm,after_mean_nm,after_delta_nm,after_ci_lo_nm,after_ci_hi_nm,after_equivalent_3nm
ETCH-01,499.4088066325645,120.0,0.0,500.16629351849105,0.0,0.0,0.0,True,500.5646267233894,0.0,0.0,0.0,True
ETCH-02,487.9420620912286,122.82002608888233,2.8200260888823294,486.7752000008894,-13.391093517601632,-14.617284772427436,-12.16490226277583,False,498.80454320884206,-1.7600835145473184,-2.956112526864565,-0.5640545022300718,True
ETCH-03,513.5686468210481,116.69142414916519,-3.3085758508348135,514.4863266540184,14.320033135527353,13.143491776932192,15.496574494122514,False,498.8437594524832,-1.720867270906183,-2.9535949804623565,-0.48813956135000924,True
ETCH-04,495.2625065719364,121.0046308789238,1.0046308789238054,495.4003501812513,-4.765943337239719,-5.951064850606868,-3.5808218238725695,False,500.0376387007787,-0.5269880226106807,-1.7755280446257544,0.7215519994043931,True
