seed,method,loss,n,good_fraction,depth_RMSE_nm,nonuniformity_pct,particle_fraction,throughput_wafers_h,wear_index,power_w,pressure_mtorr,flow_sccm,temperature_c,time_s
7,nominal,2.8896049604416922,300,0.7066666666666667,16.91542425832837,1.748186067580454,0.02666666666666667,21.818181818181817,1.2,750.0,35.0,50.0,40.0,120.0
7,bayesian,2.2850455864927546,300,0.8866666666666667,11.682020860162451,2.0621607489119254,0.03333333333333333,23.060978062044992,1.3665742247358263,827.4056257310976,29.779389520060633,60.91584002543945,40.0,111.10786282846672
7,random,2.3782971991663335,300,0.8466666666666667,13.123599512518643,2.1006513275170633,0.02666666666666667,22.353164754938543,1.3272340077967006,798.1172228499181,24.596195141468836,60.136354079313094,40.0,116.05102071529458
17,nominal,2.8896049604416922,300,0.7133333333333334,17.08306680503345,1.7562483267014515,0.023333333333333334,21.818181818181817,1.2,750.0,35.0,50.0,40.0,120.0
17,bayesian,2.4064239403164946,300,0.84,12.806716889577103,2.611809127645593,0.02666666666666667,20.387684442923508,0.7540658630884776,563.8883852439635,35.80049226429731,64.92304445009307,40.0,131.57718855117687
17,random,2.1920668944381285,300,0.87,11.683640974946226,1.8720851317281308,0.023333333333333334,22.16614356406257,1.2039786553626273,755.3413587281449,29.073381636643255,61.4030381102413,40.0,117.40984768485362
27,nominal,2.8896049604416922,300,0.74,16.444293597297328,1.7332337239739308,0.02,21.818181818181817,1.2,750.0,35.0,50.0,40.0,120.0
27,bayesian,2.242771209761989,300,0.8666666666666667,12.239190377769962,1.8669738975363228,0.02666666666666667,19.98897176087837,1.1030312068707928,680.4732330587706,35.68899878416882,43.2998841438126,40.0,135.0993089122162
27,random,2.364464126360564,300,0.8533333333333334,11.296094951744463,2.50277061832468,0.03666666666666667,18.117401645751585,0.8962160731503894,574.9866270933493,26.288983702695482,43.46996160200692,40.0,153.70399025150368
